"","district","ward","location","strategy","vaccination_year","total_dogs","vaccine_bundle","labour_VX_cost","perdiem_VX_cost","travel_VX_cost","fuel_VX_cost","vehicle_rent_VL","HH_wait","HH_trav","Household_costs","zeepot_cost","refrigeration_cost","labour_NVX_cost","perdiem_NVX_cost","travel_NVX_cost","vehicle_rent_NVL","fuel_NVX_cost","main_total","cost_per_dog","Vacc_delivery","vacc_storage","non_vacc_NV","total_total","perDog_cost"
"1","Bunda District Council","Butimba","rural","continuous","first_year",868,537.57225433526,173.672011560694,37.159372419488,12.9352460776218,5.30852398538092,25.7363691164328,174.677839658867,206.052500802628,381.415340296316,2.7046396127239,21.1573538856776,455.652150075554,60.5560143132399,18.5295751956213,54.9352431286764,11.3312431319268,1795.99798040464,2.06912209724036,792.383777494878,23.8619934984015,601.004225845019,1798.66533713461,2.07219508886476
"2","Bunda District Council","Butimba","rural","continuous","second_year",678,419.900908340215,222.622037985137,37.159372419488,11.988764657308,4.93177608802031,23.90984954583,158.511267591117,186.982179057915,345.493446649032,2.7046396127239,21.0992292870905,437.766325687996,0,9.5107505636884,18.3117477095588,3.7770810439756,1556.47128997734,2.29568036869814,720.512709035998,23.8038688998144,469.365905005219,1559.17592959006,2.29966951266971
"3","Bunda District Council","Butimba","rural","continuous","third_year",406,251.445086705202,114.589255161024,37.159372419488,6.79745747316269,2.79414810991834,13.5463694467383,86.7474598757355,102.328555703337,189.076015579072,2.7046396127239,21.0992292870905,383.766325687997,0,9.5107505636884,18.3117477095588,3.7770810439756,1051.87283918691,2.59081980095299,426.331689315534,23.8038688998144,415.365905005219,1054.57747879964,2.59748147487596
"4","Bunda District Council","Chitengure","rural","pulsed","first_year",498,308.422791081751,143.933788604459,123.864574731627,30.1726804293972,12.4044795088234,60.138423451693,153.951426833617,154.853657857715,308.805084691333,0,6.62074502247914,182.96440396142,4.12881915772089,0,14.3807631434077,2.9662547086379,1205.31863563285,2.4203185454475,678.936737807751,6.62074502247914,204.440240971187,1198.80280849275,2.40723455520632
"5","Bunda District Council","Chitengure","rural","pulsed","second_year",310,191.990090834022,125.73602146986,123.864574731627,30.5742180016516,12.5688943022296,60.9355263418664,86.1516262744414,86.6565171455423,172.808143419985,0,11.242774566474,179.140236606617,0,0,14.3807631434077,2.9662547086379,926.207498126377,2.98776612298831,545.669325681256,11.242774566474,196.487254458662,926.207498126377,2.98776612298831
"6","Bunda District Council","Chitengure","rural","pulsed","third_year",200,123.864574731627,90.6591659785303,123.864574731627,21.8264351775393,8.96528023977735,43.4647676300579,62.7020711938242,63.0695361473474,125.771607341172,0,10.9929351316635,188.068808035188,0,0,28.7615262868154,5.9325094172758,772.172184701274,3.86086092350637,412.644798489159,10.9929351316635,222.76284373928,772.172184701274,3.86086092350637
"7","Bunda District Council","Igundu","rural","continuous","first_year",820,507.84475639967,195.613842279108,49.5458298926508,10.3252518579686,4.25644212771814,20.635748472337,192.027331634015,226.518211943296,418.54554357731,2.7046396127239,21.1573538856776,476.160820595786,72.9424717864024,19.9507249789841,64.0911169834557,13.2197836539146,1876.9943261037,2.28901747085818,788.221871029453,23.8619934984015,646.364917998543,1876.99432610371,2.28901747085818
"8","Bunda District Council","Igundu","rural","continuous","second_year",693,429.190751445087,266.021414533444,49.5458298926507,21.3675350949629,13.4729007248371,65.3182592898433,83.1987001535464,98.142387515473,205.487331846424,2.7046396127239,21.0992292870905,485.766325687996,0,9.5107505636884,18.3117477095588,3.7770810439756,1588.86915711956,2.29274048646401,844.916690980825,23.8038688998144,517.365905005219,1591.57379673228,2.29664328532797
"9","Bunda District Council","Igundu","rural","continuous","third_year",858,531.379025598679,296.829383980182,49.5458298926508,25.038735755574,12.7487843533046,61.8076551610241,123.812283640823,146.050756776581,294.009284594807,2.7046396127239,21.0992292870905,485.766325687997,0,9.5107505636884,18.3117477095588,3.7770810439756,1809.82383362853,2.10935178744584,977.349414741414,23.8038688998144,517.365905005219,1812.52847324126,2.11250404806673
"10","Bunda District Council","Iramba","rural","continuous","first_year",678,419.900908340215,152.251718414534,61.9322873658134,3.95801321222131,1.60722726855675,7.79203303055328,122.235057097627,144.190237581975,268.480294184062,2.7046396127239,21.1573538856776,454.669491116017,85.3289292595655,21.371874762347,73.2469908382352,15.1083241759024,1576.17330181655,2.32473938321025,647.442187631893,23.8619934984015,649.725610152068,1589.51008546642,2.3444101555552
"11","Bunda District Council","Iramba","rural","continuous","second_year",607,375.928984310487,237.187837324525,61.9322873658135,17.6389719240298,7.2703467519956,35.2475241948803,106.462791665675,125.585045635913,238.555335732379,2.7046396127239,21.0992292870905,593.766325687997,0,9.5107505636884,18.3117477095588,3.7770810439756,1599.489874415,2.63507392819604,735.205951871732,23.8038688998144,625.365905005219,1622.93106150914,2.67369202884538
"12","Bunda District Council","Iramba","rural","continuous","third_year",892,552.436003303056,265.0528447564,61.9322873658135,24.3217043765484,9.99528825274491,48.4583715937243,164.425867128099,193.959126037688,358.384993165787,2.7046396127239,21.0992292870905,623.766325687997,0,9.5107505636884,18.3117477095588,3.7770810439756,1975.30623569433,2.21446887409678,962.196499648287,23.8038688998144,655.365905005219,1999.75126671911,2.2418736173981
"13","Bunda District Council","Ketare","rural","continuous","first_year",515,318.951279933939,140.442617671346,37.1593724194881,8.05943270024774,3.32234929045478,16.1071529314616,159.694187498513,188.37756845387,348.071755952383,2.7046396127239,21.1573538856776,473.652150075554,60.5560143132399,18.5295751956213,54.9352431286764,11.3312431319268,1514.98018024274,2.94170908784998,524.042204946937,23.8619934984015,619.004225845019,1514.98018024274,2.94170908784998
"14","Bunda District Council","Ketare","rural","continuous","second_year",753,466.350123864575,296.233341040463,37.159372419488,20.7078662262593,8.49375620852066,41.1787618497111,193.998864813009,228.843860936553,422.842725749562,2.7046396127239,21.0992292870905,509.766325687996,0,9.5107505636884,18.3117477095588,3.7770810439756,1855.43108165089,2.4640519012628,870.123221609017,23.8038688998144,541.365905005219,1858.13572126361,2.4676437201376
"15","Bunda District Council","Ketare","rural","continuous","third_year",836,517.7539223782,309.309033030554,37.1593724194881,12.0174459124691,5.07560957427287,24.607171758877,97.3937390423031,114.887060266928,243.619541752245,2.7046396127239,21.0992292870905,509.766325687996,0,9.5107505636884,18.3117477095588,3.7770810439756,1616.21183888059,1.93326774985717,905.922555073861,23.8038688998144,541.365905005219,1714.71187073114,2.05109075446309
"16","Bunda District Council","Kibara","rural","pulsed","first_year",158,97.8530140379852,102.065737407102,99.0916597853014,23.862804293972,9.80856395082118,47.5531094962842,49.4479748439101,49.7377642788024,99.185739122713,0,6.62074502247914,181.178689675706,4.12881915772089,0,11.5046105147261,2.37300376691032,691.742323371825,4.37811597070776,380.234888971466,6.62074502247914,199.185123115063,685.226496231721,4.33687655842861
"17","Bunda District Council","Kibara","rural","pulsed","second_year",187,115.813377374071,69.191740710157,99.0916597853014,21.2814913294798,8.7379432057987,42.3626100743188,64.2313900034297,64.6078175167949,128.839207520225,0,11.242774566474,177.354522320903,0,0,11.5046105147261,2.37300376691032,687.792941168365,3.67803711854741,356.478822479127,11.242774566474,191.232136602539,687.792941168365,3.67803711854741
"18","Bunda District Council","Kibara","rural","pulsed","third_year",192,118.909991742362,104.155846407927,99.0916597853014,22.0845664739885,9.07545307673487,43.9988989265071,66.7802546861054,67.1716197992074,133.951874485313,0,10.9929351316635,177.354522320903,0,0,11.5046105147261,2.37300376691032,733.493362632337,3.82027793037675,397.316416412821,10.9929351316635,191.232136602539,733.493362632337,3.82027793037676
"19","Bunda District Council","Kisorya","rural","pulsed","first_year",304,188.274153592073,101.0767283237,99.0916597853014,4.64636333608589,1.88805999021317,9.15354417836501,110.110954291594,110.75625860022,220.867212891815,0,6.62074502247914,188.321546818563,4.12881915772089,0,23.0092210294522,4.74600753382064,858.339888799693,2.82348647631478,404.130509205738,6.62074502247914,220.205594539557,851.824061659588,2.80205283440654
"20","Bunda District Council","Kisorya","rural","pulsed","second_year",217,134.393063583815,57.2408860445913,99.0916597853014,9.60822047894304,3.94324490778971,19.1173303055327,83.6027615917656,84.0927148631298,167.695476454896,0,11.242774566474,177.354522320903,0,0,11.5046105147261,2.37300376691032,693.564792729882,3.19615111857089,323.394405105973,11.242774566474,191.232136602539,693.564792729882,3.19615111857089
"21","Bunda District Council","Kisorya","rural","pulsed","third_year",232,143.682906688687,88.1048885218829,99.0916597853014,3.75724442609414,1.52812277884821,7.40852485549135,86.1516262744414,86.6565171455423,172.808143419985,0,10.9929351316635,177.354522320903,0,0,11.5046105147261,2.37300376691032,718.606562210492,3.0974420784935,343.573347056305,10.9929351316635,191.232136602539,718.606562210492,3.0974420784935
"22","Bunda District Council","Namhula","rural","pulsed","first_year",483,299.132947976879,115.911864574732,99.0916597853014,29.2835615194055,12.0449743477995,58.3954987613544,164.14688556432,165.108866987365,329.255752551687,0,6.62074502247914,181.178689675706,4.12881915772089,0,11.5046105147261,2.37300376691032,1155.4379547948,2.39221108653169,613.860506965471,6.62074502247914,199.185123115063,1148.9221276547,2.37872076118986
"23","Bunda District Council","Namhula","rural","pulsed","second_year",560,346.820809248555,135.955781998349,99.0916597853014,35.5934376548308,14.6255717573478,70.9065484723371,169.754387866207,170.749232008672,340.503619874881,0,11.242774566474,177.354522320903,0,0,11.5046105147261,2.37300376691032,1245.97233996061,2.22495060707252,702.993808916721,11.242774566474,191.232136602539,1245.97233996061,2.22495060707253
"24","Bunda District Council","Namhula","rural","pulsed","third_year",589,364.781172584641,130.219529314616,99.0916597853014,29.3122427745665,12.0399075756186,58.3709344343519,189.125759454543,190.234129355007,379.359888809552,0,10.9929351316635,184.49737946376,0,0,23.0092210294522,4.74600753382064,1296.42087843734,2.2010541229836,693.815446469096,10.9929351316635,212.252608027033,1296.42087843734,2.20105412298361
"25","Bunda District Council","Nampindi","rural","pulsed","first_year",606,375.309661436829,120.329438480595,99.0916597853014,6.65405119735757,2.71201926782274,13.1481988439307,188.106213581473,189.208608442042,377.314822023517,0,6.62074502247914,181.178689675706,4.12881915772089,0,11.5046105147261,2.37300376691032,1206.881546313,1.99155370678713,617.245029011836,6.62074502247914,199.185123115063,1200.3657191729,1.98080151678696
"26","Bunda District Council","Nampindi","rural","pulsed","second_year",315,195.086705202312,92.0437786952933,99.0916597853014,11.0996457473163,4.55864170260269,22.1008487200661,110.620727228129,111.269019056702,221.889746284832,0,11.242774566474,177.354522320903,0,0,11.5046105147261,2.37300376691032,848.345937306737,2.69316170573567,423.981279852892,11.242774566474,191.232136602539,848.345937306737,2.69316170573567
"27","Bunda District Council","Nampindi","rural","pulsed","third_year",238,147.398843930636,97.9778331957062,99.0916597853014,6.96954500412883,2.86567208000734,13.8931263418663,81.0538969090898,81.5289125807173,162.582809489808,0,10.9929351316635,184.49737946376,0,0,23.0092210294522,4.74600753382064,754.02503298615,3.16817240750483,368.196680337646,10.9929351316635,212.252608027033,754.02503298615,3.16817240750483
"28","Bunda District Council","Nansimo","rural","pulsed","first_year",475,294.178364987614,130.812934764658,123.864574731627,15.1723839801817,6.23040158118482,30.2057436829068,140.187557547168,141.009125532687,281.196683079857,0,6.62074502247914,182.96440396142,4.12881915772089,0,14.3807631434077,2.9662547086379,1099.2378999418,2.31418505250905,600.464403728172,6.62074502247914,204.440240971187,1092.72207280169,2.30046752168778
"29","Bunda District Council","Nansimo","rural","pulsed","second_year",259,160.404624277457,125.142616019819,123.864574731627,19.4458909991743,7.99026045202924,38.7377532617672,76.4659404802734,76.9140684723749,153.380008952649,0,11.242774566474,179.140236606617,0,0,14.3807631434077,2.9662547086379,836.695757719658,3.23048555104115,475.585719741873,11.242774566474,196.487254458662,836.695757719658,3.23048555104115
"30","Bunda District Council","Nansimo","rural","pulsed","third_year",296,183.319570602808,104.703094962841,123.864574731627,15.1437027250207,6.22989097623636,30.2032682080926,91.2493556397929,91.7841217103673,183.033477350161,0,10.9929351316635,179.140236606617,0,0,14.3807631434077,2.9662547086379,853.977769147112,2.8850600309024,463.464102206625,10.9929351316635,196.487254458662,853.977769147112,2.8850600309024
"31","Bunda District Council","Neruma","rural","continuous","first_year",487,301.610239471511,213.010845582164,49.5458298926508,18.2699595375723,8.35734613267273,40.5174292320397,6.70321280857957,7.90720657707603,59.135408648954,2.7046396127239,21.1573538856776,500.160820595786,72.9424717864024,19.9507249789841,64.0911169834557,13.2197836539146,1384.50188246354,2.84291967651651,631.31164984861,23.8619934984015,670.364917998543,1384.67396999451,2.8432730390031
"32","Bunda District Council","Neruma","rural","continuous","second_year",865,535.714285714286,354.310274979356,49.5458298926508,24.9813732452519,13.5240397742912,65.5661876135427,52.0484759254413,61.3971334220021,159.683098197792,2.7046396127239,21.0992292870905,581.766325687997,0,9.5107505636884,18.3117477095588,3.7770810439756,1837.79022370948,2.12461297538668,1043.64199121938,23.8038688998144,613.365905005219,1840.4948633222,2.12773972638405
"33","Bunda District Council","Neruma","rural","continuous","third_year",909,562.964492155244,253.728028901734,49.5458298926508,23.1744541701074,9.50667859436646,46.0895326176715,109.222938116267,128.840954226474,238.063892342741,2.7046396127239,21.0992292870905,533.766325687997,0,9.5107505636884,18.3117477095588,3.7770810439756,1769.53804296682,1.9466865159151,945.009016331774,23.8038688998144,565.365905005219,1772.24268257955,1.94966191702921
"34","Bunda District Council","Nyamihyoro","rural","continuous","first_year",505,312.758051197358,289.788626754749,37.159372419488,13.3367836498762,5.96850051992538,28.9360155243601,110.800164659462,130.70147342108,246.981636759102,2.7046396127239,21.1573538856776,509.652150075554,60.5560143132399,18.5295751956213,54.9352431286764,11.3312431319268,1599.13908478099,3.16661204907128,687.947350065756,23.8619934984015,655.004225845019,1613.79520616828,3.19563407162035
"35","Bunda District Council","Nyamihyoro","rural","continuous","second_year",671,415.565648224608,448.038027250207,37.159372419488,29.7711428571429,16.9975674067957,82.406271511148,54.4143157402341,64.1879122139113,163.983467010969,2.7046396127239,21.0992292870905,509.766325687996,0,9.5107505636884,18.3117477095588,3.7770810439756,1756.38663097267,2.61756576896076,1029.93802966939,23.8038688998144,541.365905005219,1759.09127058539,2.62159652844321
"36","Bunda District Council","Nyamihyoro","rural","continuous","third_year",680,421.139554087531,355.241592072668,37.159372419488,32.6966308835674,19.7272614612962,95.640159867878,17.7437986109459,20.9308409393189,93.8171262532729,2.7046396127239,21.0992292870905,509.766325687996,0,9.5107505636884,18.3117477095588,3.7770810439756,1617.51397502092,2.37869702208958,961.604570792428,23.8038688998144,541.365905005219,1620.59147095073,2.38322275139814
"37","Bunda Town Council","Guta","urban","continuous","first_year",1217,753.715937241949,318.435940545005,86.7052023121386,37.084862923204,16.3005916521393,79.0272483897607,470.407816507966,554.899849791276,1029.07516539075,2.7046396127239,21.1573538856776,1316.50932663734,118.359482521332,24.6653933944166,93.2648899890998,19.2373253298162,3916.24335982536,3.21794852902659,1291.2697830642,23.8619934984015,1572.03641787201,3916.24335982536,3.21794852902659
"38","Bunda Town Council","Guta","urban","continuous","second_year",1381,855.284888521883,390.706146985963,86.7052023121386,50.3642840627581,23.7034207496101,114.917063088357,392.729409255603,463.269279456925,921.58742289654,2.7046396127239,21.0992292870905,1343.29897706399,0,9.68797865834676,18.65297799782,3.84746506596324,3839.85505669046,2.78048881729939,1521.68100572071,23.8038688998144,1375.48739878612,3842.55969630318,2.78244728189948
"39","Bunda Town Council","Guta","urban","continuous","third_year",1065,659.578860445913,241.695412056152,86.7052023121387,42.0467200660612,18.5595079441539,89.9787489677954,366.705171292882,432.570712745924,822.223378505275,2.7046396127239,21.0992292870905,1259.29897706398,0,9.68797865834676,18.65297799782,3.84746506596324,3273.20237083973,3.07342945618754,1138.56445179221,23.8038688998144,1291.48739878611,3276.07909798342,3.07613060843513
"40","Bunda Town Council","Kabasa","urban","continuous","first_year",1031,638.521882741536,306.403323699422,61.9322873658134,27.6774112303882,14.2573863121999,69.1215407101571,223.571862497918,263.728595835418,506.309203749591,2.7046396127239,21.1573538856776,1233.49198559688,93.5865675750069,21.7701289924462,74.61191199128,15.389860263853,3086.93548372698,2.994117830967,1117.91383205952,23.8619934984015,1438.85045441947,3086.93548372697,2.994117830967
"41","Bunda Town Council","Kabasa","urban","continuous","second_year",1183,732.658959537572,425.537406275806,61.9322873658134,39.436725846408,19.5935222421017,94.9917758876963,137.61301589378,162.330299729384,350.633303399843,2.7046396127239,21.0992292870905,1151.29897706399,0,9.68797865834676,18.65297799782,3.84746506596324,2929.37060862845,2.47622198531568,1374.1506771554,23.8038688998144,1183.48739878612,2932.07524824117,2.47850824027149
"42","Bunda Town Council","Kabasa","urban","continuous","third_year",1031,638.521882741536,327.115815854666,61.9322873658134,29.1975177539224,14.0823666467872,68.273024112304,145.893455245555,172.098025501066,352.24147248762,2.7046396127239,21.0992292870905,1151.29897706398,0,9.68797865834676,18.65297799782,3.84746506596324,2695.95099503586,2.61488942292518,1139.12289447503,23.8038688998144,1183.48739878611,2698.65563464858,2.61751273971734
